,Bush,Kerr,Nade,Chen,Edwa,LBus,HCli,BCli,Powe,Ashc,McCa,DemP,RepP
1378,100,0,60,85,50,100,0,0,85,85,50,0,60
1379,30,70,50,60,85,70,100,85,60,15,40,70,40
1380,85,60,40,15,60,100,50,60,70,60,50,60,85
1381,0,85,0,0,85,50,85,60,40,50,50,70,15
1382,10,60,50,85,50,85,0,15,85,85,60,40,85
1383,60,85,50,70,70,70,100,100,85,70,60,100,50
1384,50,85,60,50,100,70,100,100,60,30,60,85,60
1385,100,40,60,60,50,70,30,0,85,50,50,30,70
1386,60,90,30,50,70,70,10,20,75,50,60,80,50
1387,70,30,50,60,70,70,70,70,70,40,40,50,60
1388,60,45,15,50,15,100,0,45,85,30,85,45,55
1389,70,40,30,60,40,85,40,50,85,70,70,60,70
1390,30,70,15,60,70,60,50,70,70,50,50,70,40
1391,0,90,60,15,70,15,95,85,30,0,50,70,0
1392,15,85,40,30,85,85,60,70,70,30,60,70,40
1393,0,100,30,50,70,50,100,100,85,60,50,100,0
1394,70,40,50,60,50,85,30,15,70,60,70,60,60
1395,85,50,30,85,50,100,60,15,85,15,70,40,70
1396,70,30,60,40,70,50,15,70,85,40,60,40,70
1397,85,50,85,70,15,85,0,0,60,60,85,50,50
1398,15,70,50,50,50,60,70,60,70,50,50,70,30
1399,15,60,50,0,50,30,60,85,30,40,60,60,30
1400,85,15,30,85,40,85,0,50,100,100,60,50,70
1401,85,40,15,85,15,85,30,30,85,60,70,70,70
1402,30,40,40,40,50,50,60,50,30,15,30,30,15
1403,70,70,100,60,70,60,70,60,70,60,70,70,70
1404,0,100,0,0,100,15,100,100,0,0,40,100,0
1405,100,0,0,100,0,100,0,0,100,100,100,0,100
1406,80,0,0,85,0,85,0,30,85,50,60,30,60
1407,40,85,0,30,85,70,100,100,60,30,70,100,40
1408,85,50,60,70,50,85,70,50,70,50,70,70,85
1409,70,40,30,50,50,85,50,40,70,60,60,60,60
1410,30,85,50,15,70,70,70,70,85,40,70,60,30
1411,15,85,50,15,85,50,85,85,30,30,40,85,60
1412,85,50,70,85,85,60,30,70,60,50,50,70,70
1413,100,0,50,70,0,85,0,0,85,50,50,0,85
1414,100,30,60,100,50,100,50,60,85,70,85,30,85
1415,15,85,60,50,50,70,70,85,70,50,50,70,15
